record_id;rater_id;report_num;model;accuracy;recommendation;total;best_model
16;1;2;Gemini;5.0;3.0;8.0;Gemini
16;1;3;EchoGPT;4.0;2.0;6.0;Gemini
16;2;1;ChatGPT;5.0;2.0;7.0;Gemini
16;2;2;Gemini;5.0;3.0;8.0;Gemini
16;2;3;EchoGPT;4.0;2.0;6.0;Gemini
17;1;1;Gemini;5.0;3.0;8.0;Gemini
17;1;2;ChatGPT;4.0;3.0;7.0;Gemini
17;1;3;EchoGPT;4.0;3.0;7.0;Gemini
17;2;1;Gemini;5.0;3.0;8.0;Gemini
17;2;2;ChatGPT;5.0;3.0;8.0;Gemini
17;2;3;EchoGPT;4.0;3.0;7.0;Gemini
18;1;1;EchoGPT;5.0;3.0;8.0;EchoGPT
18;1;2;ChatGPT;4.0;3.0;7.0;EchoGPT
18;1;3;Gemini;5.0;3.0;8.0;EchoGPT
18;2;1;EchoGPT;5.0;3.0;8.0;EchoGPT
18;2;2;ChatGPT;4.0;3.0;7.0;EchoGPT
18;2;3;Gemini;4.0;3.0;7.0;EchoGPT
19;1;1;ChatGPT;5.0;2.0;7.0;Gemini
19;1;2;Gemini;5.0;3.0;8.0;Gemini
19;1;3;EchoGPT;4.0;3.0;7.0;Gemini
19;2;1;ChatGPT;5.0;3.0;8.0;EchoGPT
19;2;2;Gemini;5.0;3.0;8.0;EchoGPT
19;2;3;EchoGPT;5.0;3.0;8.0;EchoGPT
20;1;1;EchoGPT;5.0;3.0;8.0;EchoGPT
20;1;2;ChatGPT;5.0;3.0;8.0;EchoGPT
20;1;3;Gemini;5.0;3.0;8.0;EchoGPT
20;2;1;EchoGPT;5.0;3.0;8.0;All are equal
20;2;2;ChatGPT;5.0;3.0;8.0;All are equal
20;2;3;Gemini;5.0;3.0;8.0;All are equal
21;1;1;Gemini;5.0;3.0;8.0;ChatGPT
21;1;2;ChatGPT;5.0;3.0;8.0;ChatGPT
21;1;3;EchoGPT;4.0;3.0;7.0;ChatGPT
21;2;1;Gemini;5.0;3.0;8.0;Gemini
21;2;2;ChatGPT;5.0;3.0;8.0;Gemini
21;2;3;EchoGPT;4.0;3.0;7.0;Gemini
22;1;1;EchoGPT;5.0;3.0;8.0;EchoGPT
22;1;2;Gemini;5.0;3.0;8.0;EchoGPT
22;1;3;ChatGPT;5.0;3.0;8.0;EchoGPT
22;2;1;EchoGPT;5.0;3.0;8.0;EchoGPT
22;2;2;Gemini;5.0;3.0;8.0;EchoGPT
22;2;3;ChatGPT;5.0;3.0;8.0;EchoGPT
23;1;1;ChatGPT;5.0;3.0;8.0;ChatGPT
23;1;2;Gemini;5.0;3.0;8.0;ChatGPT
23;1;3;EchoGPT;4.0;2.0;6.0;ChatGPT
23;2;1;ChatGPT;5.0;3.0;8.0;EchoGPT
23;2;2;Gemini;5.0;3.0;8.0;EchoGPT
23;2;3;EchoGPT;5.0;3.0;8.0;EchoGPT
24;1;1;Gemini;5.0;3.0;8.0;Gemini
24;1;2;EchoGPT;3.0;2.0;5.0;Gemini
24;1;3;ChatGPT;5.0;2.0;7.0;Gemini
24;2;1;Gemini;5.0;3.0;8.0;Gemini
24;2;2;EchoGPT;4.0;3.0;7.0;Gemini
24;2;3;ChatGPT;5.0;3.0;8.0;Gemini
25;1;1;EchoGPT;4.0;2.0;6.0;Gemini
25;1;2;Gemini;4.0;3.0;7.0;Gemini
25;1;3;ChatGPT;4.0;2.0;6.0;Gemini
25;2;1;EchoGPT;4.0;2.0;6.0;Gemini
25;2;2;Gemini;5.0;3.0;8.0;Gemini
25;2;3;ChatGPT;5.0;3.0;8.0;Gemini
26;1;1;ChatGPT;5.0;3.0;8.0;EchoGPT
26;1;2;EchoGPT;5.0;3.0;8.0;EchoGPT
26;1;3;Gemini;4.0;2.0;6.0;EchoGPT
26;2;1;ChatGPT;5.0;3.0;8.0;Gemini
26;2;2;EchoGPT;4.0;2.0;6.0;Gemini
26;2;3;Gemini;5.0;3.0;8.0;Gemini
27;1;1;ChatGPT;4.0;3.0;7.0;EchoGPT
27;1;2;Gemini;4.0;3.0;7.0;EchoGPT
27;1;3;EchoGPT;5.0;3.0;8.0;EchoGPT
27;2;1;ChatGPT;5.0;3.0;8.0;ChatGPT
27;2;2;Gemini;5.0;3.0;8.0;ChatGPT
27;2;3;EchoGPT;4.0;2.0;6.0;ChatGPT
28;1;1;EchoGPT;5.0;2.0;7.0;ChatGPT
28;1;2;Gemini;5.0;3.0;8.0;ChatGPT
28;1;3;ChatGPT;5.0;3.0;8.0;ChatGPT
28;2;1;EchoGPT;5.0;2.0;7.0;Gemini
28;2;2;Gemini;5.0;3.0;8.0;Gemini
28;2;3;ChatGPT;5.0;3.0;8.0;Gemini
29;1;1;ChatGPT;4.0;3.0;7.0;EchoGPT
29;1;2;Gemini;4.0;2.0;6.0;EchoGPT
29;1;3;EchoGPT;5.0;3.0;8.0;EchoGPT
29;2;1;ChatGPT;5.0;3.0;8.0;EchoGPT
29;2;2;Gemini;5.0;3.0;8.0;EchoGPT
29;2;3;EchoGPT;5.0;3.0;8.0;EchoGPT
30;1;1;EchoGPT;4.0;2.0;6.0;ChatGPT
30;1;2;ChatGPT;5.0;3.0;8.0;ChatGPT
30;1;3;Gemini;5.0;3.0;8.0;ChatGPT
30;2;1;EchoGPT;5.0;2.0;7.0;ChatGPT
30;2;2;ChatGPT;5.0;3.0;8.0;ChatGPT
30;2;3;Gemini;5.0;3.0;8.0;ChatGPT
31;1;1;Gemini;5.0;3.0;8.0;Gemini
31;1;2;EchoGPT;5.0;2.0;7.0;Gemini
31;1;3;ChatGPT;5.0;3.0;8.0;Gemini
31;2;1;Gemini;5.0;3.0;8.0;EchoGPT
31;2;2;EchoGPT;5.0;3.0;8.0;EchoGPT
31;2;3;ChatGPT;5.0;3.0;8.0;EchoGPT
32;1;1;EchoGPT;5.0;3.0;8.0;EchoGPT
32;1;2;Gemini;5.0;3.0;8.0;EchoGPT
32;1;3;ChatGPT;5.0;2.0;7.0;EchoGPT
32;2;1;EchoGPT;5.0;3.0;8.0;EchoGPT
32;2;2;Gemini;5.0;3.0;8.0;EchoGPT
32;2;3;ChatGPT;5.0;2.0;7.0;EchoGPT
33;1;1;ChatGPT;5.0;3.0;8.0;EchoGPT
33;1;2;EchoGPT;5.0;3.0;8.0;EchoGPT
33;1;3;Gemini;5.0;3.0;8.0;EchoGPT
33;2;1;ChatGPT;5.0;3.0;8.0;EchoGPT
33;2;2;EchoGPT;5.0;3.0;8.0;EchoGPT
33;2;3;Gemini;5.0;3.0;8.0;EchoGPT
34;1;1;Gemini;5.0;3.0;8.0;Gemini
34;1;2;ChatGPT;5.0;2.0;7.0;Gemini
34;1;3;EchoGPT;4.0;3.0;7.0;Gemini
34;2;1;Gemini;5.0;2.0;7.0;ChatGPT
34;2;2;ChatGPT;5.0;3.0;8.0;ChatGPT
34;2;3;EchoGPT;4.0;2.0;6.0;ChatGPT
35;1;1;EchoGPT;4.0;2.0;6.0;Gemini
35;1;2;ChatGPT;5.0;3.0;8.0;Gemini
35;1;3;Gemini;5.0;3.0;8.0;Gemini
35;2;1;EchoGPT;2.0;2.0;4.0;Gemini
35;2;2;ChatGPT;5.0;3.0;8.0;Gemini
35;2;3;Gemini;5.0;3.0;8.0;Gemini
36;1;1;Gemini;4.0;3.0;7.0;All are equal
36;1;2;EchoGPT;4.0;3.0;7.0;All are equal
36;1;3;ChatGPT;5.0;3.0;8.0;All are equal
36;2;1;Gemini;4.0;3.0;7.0;ChatGPT
36;2;2;EchoGPT;4.0;2.0;6.0;ChatGPT
36;2;3;ChatGPT;5.0;3.0;8.0;ChatGPT
37;1;1;ChatGPT;5.0;2.0;7.0;Gemini
37;1;2;Gemini;5.0;3.0;8.0;Gemini
37;1;3;EchoGPT;5.0;2.0;7.0;Gemini
37;2;1;ChatGPT;5.0;3.0;8.0;EchoGPT
37;2;2;Gemini;5.0;3.0;8.0;EchoGPT
37;2;3;EchoGPT;5.0;3.0;8.0;EchoGPT
38;1;1;Gemini;5.0;3.0;8.0;Gemini
38;1;2;ChatGPT;5.0;3.0;8.0;Gemini
38;1;3;EchoGPT;4.0;2.0;6.0;Gemini
38;2;1;Gemini;5.0;3.0;8.0;ChatGPT
38;2;2;ChatGPT;5.0;3.0;8.0;ChatGPT
38;2;3;EchoGPT;5.0;2.0;7.0;ChatGPT
39;1;1;EchoGPT;3.0;2.0;5.0;Gemini
39;1;2;Gemini;5.0;3.0;8.0;Gemini
39;1;3;ChatGPT;4.0;2.0;6.0;Gemini
39;2;1;EchoGPT;4.0;3.0;7.0;Gemini
39;2;2;Gemini;5.0;3.0;8.0;Gemini
39;2;3;ChatGPT;5.0;3.0;8.0;Gemini
40;1;1;ChatGPT;5.0;3.0;8.0;Gemini
40;1;2;EchoGPT;4.0;3.0;7.0;Gemini
40;1;3;Gemini;5.0;3.0;8.0;Gemini
40;2;1;ChatGPT;5.0;3.0;8.0;Gemini
40;2;2;EchoGPT;3.0;2.0;5.0;Gemini
40;2;3;Gemini;5.0;3.0;8.0;Gemini
41;1;1;Gemini;5.0;3.0;8.0;Gemini
41;1;2;ChatGPT;5.0;3.0;8.0;Gemini
41;1;3;EchoGPT;3.0;2.0;5.0;Gemini
41;2;1;Gemini;5.0;3.0;8.0;ChatGPT
41;2;2;ChatGPT;5.0;3.0;8.0;ChatGPT
41;2;3;EchoGPT;4.0;2.0;6.0;ChatGPT
42;1;1;EchoGPT;4.0;3.0;7.0;Gemini
42;1;2;Gemini;5.0;3.0;8.0;Gemini
42;1;3;ChatGPT;5.0;3.0;8.0;Gemini
42;2;1;EchoGPT;5.0;3.0;8.0;EchoGPT
42;2;2;Gemini;5.0;3.0;8.0;EchoGPT
42;2;3;ChatGPT;5.0;3.0;8.0;EchoGPT
43;1;1;ChatGPT;5.0;3.0;8.0;Gemini
43;1;2;EchoGPT;5.0;2.0;7.0;Gemini
43;1;3;Gemini;5.0;3.0;8.0;Gemini
43;2;1;ChatGPT;4.0;3.0;7.0;EchoGPT
43;2;2;EchoGPT;4.0;3.0;7.0;EchoGPT
43;2;3;Gemini;5.0;3.0;8.0;EchoGPT
44;1;1;Gemini;5.0;3.0;8.0;EchoGPT
44;1;2;ChatGPT;5.0;3.0;8.0;EchoGPT
44;1;3;EchoGPT;5.0;3.0;8.0;EchoGPT
44;2;1;Gemini;5.0;3.0;8.0;Gemini
44;2;2;ChatGPT;5.0;3.0;8.0;Gemini
44;2;3;EchoGPT;5.0;3.0;8.0;Gemini
45;1;1;Gemini;5.0;3.0;8.0;Gemini
45;1;2;ChatGPT;5.0;3.0;8.0;Gemini
45;1;3;EchoGPT;5.0;2.0;7.0;Gemini
45;2;1;Gemini;5.0;3.0;8.0;Gemini
45;2;2;ChatGPT;5.0;3.0;8.0;Gemini
45;2;3;EchoGPT;5.0;2.0;7.0;Gemini
46;1;1;EchoGPT;4.0;3.0;7.0;ChatGPT
46;1;2;Gemini;5.0;3.0;8.0;ChatGPT
46;1;3;ChatGPT;5.0;3.0;8.0;ChatGPT
46;2;1;EchoGPT;5.0;2.0;7.0;ChatGPT
46;2;2;Gemini;5.0;2.0;7.0;ChatGPT
46;2;3;ChatGPT;5.0;3.0;8.0;ChatGPT
47;1;1;ChatGPT;5.0;3.0;8.0;All are equal
47;1;2;EchoGPT;5.0;3.0;8.0;All are equal
47;1;3;Gemini;5.0;3.0;8.0;All are equal
47;2;1;ChatGPT;5.0;3.0;8.0;Gemini
47;2;2;EchoGPT;4.0;3.0;7.0;Gemini
47;2;3;Gemini;5.0;3.0;8.0;Gemini
48;1;1;Gemini;5.0;3.0;8.0;Gemini
48;1;2;ChatGPT;5.0;2.0;7.0;Gemini
48;1;3;EchoGPT;4.0;2.0;6.0;Gemini
48;2;1;Gemini;4.0;3.0;7.0;Gemini
48;2;2;ChatGPT;4.0;3.0;7.0;Gemini
48;2;3;EchoGPT;4.0;2.0;6.0;Gemini
49;1;1;EchoGPT;4.0;3.0;7.0;Gemini
49;1;2;Gemini;5.0;3.0;8.0;Gemini
49;1;3;ChatGPT;5.0;2.0;7.0;Gemini
49;2;1;EchoGPT;4.0;3.0;7.0;ChatGPT
49;2;2;Gemini;4.0;3.0;7.0;ChatGPT
49;2;3;ChatGPT;5.0;3.0;8.0;ChatGPT
50;1;1;ChatGPT;5.0;3.0;8.0;Gemini
50;1;2;EchoGPT;4.0;3.0;7.0;Gemini
50;1;3;Gemini;5.0;3.0;8.0;Gemini
50;2;1;ChatGPT;5.0;3.0;8.0;ChatGPT
50;2;2;EchoGPT;4.0;2.0;6.0;ChatGPT
50;2;3;Gemini;5.0;2.0;7.0;ChatGPT
51;1;1;Gemini;5.0;2.0;7.0;Gemini
51;1;2;ChatGPT;5.0;3.0;8.0;Gemini
51;1;3;EchoGPT;5.0;2.0;7.0;Gemini
51;2;1;Gemini;5.0;3.0;8.0;ChatGPT
51;2;2;ChatGPT;5.0;3.0;8.0;ChatGPT
51;2;3;EchoGPT;4.0;3.0;7.0;ChatGPT
52;1;1;EchoGPT;4.0;3.0;7.0;Gemini
52;1;2;ChatGPT;5.0;3.0;8.0;Gemini
52;1;3;Gemini;5.0;3.0;8.0;Gemini
52;2;1;EchoGPT;5.0;3.0;8.0;All are equal
52;2;2;ChatGPT;5.0;3.0;8.0;All are equal
52;2;3;Gemini;5.0;3.0;8.0;All are equal
53;1;1;ChatGPT;5.0;3.0;8.0;ChatGPT
53;1;2;Gemini;5.0;3.0;8.0;ChatGPT
53;1;3;EchoGPT;4.0;3.0;7.0;ChatGPT
53;2;1;ChatGPT;5.0;2.0;7.0;Gemini
53;2;2;Gemini;5.0;3.0;8.0;Gemini
53;2;3;EchoGPT;4.0;3.0;7.0;Gemini
54;1;1;Gemini;5.0;3.0;8.0;All are equal
54;1;2;EchoGPT;5.0;3.0;8.0;All are equal
54;1;3;ChatGPT;5.0;3.0;8.0;All are equal
54;2;1;Gemini;5.0;3.0;8.0;All are equal
54;2;2;EchoGPT;5.0;3.0;8.0;All are equal
54;2;3;ChatGPT;5.0;3.0;8.0;All are equal
55;1;1;EchoGPT;4.0;3.0;7.0;Gemini
55;1;2;ChatGPT;4.0;2.0;6.0;Gemini
55;1;3;Gemini;5.0;3.0;8.0;Gemini
55;2;1;EchoGPT;4.0;2.0;6.0;Gemini
55;2;2;ChatGPT;5.0;3.0;8.0;Gemini
55;2;3;Gemini;5.0;3.0;8.0;Gemini
56;1;1;ChatGPT;5.0;2.0;7.0;Gemini
56;1;2;Gemini;5.0;3.0;8.0;Gemini
56;1;3;EchoGPT;5.0;2.0;7.0;Gemini
56;2;1;ChatGPT;5.0;3.0;8.0;All are equal
56;2;2;Gemini;5.0;3.0;8.0;All are equal
56;2;3;EchoGPT;5.0;3.0;8.0;All are equal
57;1;1;Gemini;5.0;3.0;8.0;Gemini
57;1;2;EchoGPT;3.0;2.0;5.0;Gemini
57;1;3;ChatGPT;4.0;3.0;7.0;Gemini
57;2;1;Gemini;5.0;3.0;8.0;Gemini
57;2;2;EchoGPT;4.0;2.0;6.0;Gemini
57;2;3;ChatGPT;5.0;3.0;8.0;Gemini
58;1;1;EchoGPT;5.0;3.0;8.0;Gemini
58;1;2;ChatGPT;5.0;3.0;8.0;Gemini
58;1;3;Gemini;5.0;3.0;8.0;Gemini
58;2;1;EchoGPT;5.0;3.0;8.0;Gemini
58;2;2;ChatGPT;5.0;3.0;8.0;Gemini
58;2;3;Gemini;5.0;3.0;8.0;Gemini
59;1;1;ChatGPT;5.0;3.0;8.0;EchoGPT
59;1;2;Gemini;4.0;3.0;7.0;EchoGPT
59;1;3;EchoGPT;5.0;3.0;8.0;EchoGPT
59;2;1;ChatGPT;5.0;3.0;8.0;ChatGPT
59;2;2;Gemini;5.0;3.0;8.0;ChatGPT
59;2;3;EchoGPT;4.0;3.0;7.0;ChatGPT
60;1;1;Gemini;5.0;3.0;8.0;Gemini
60;1;2;EchoGPT;3.0;3.0;6.0;Gemini
60;1;3;ChatGPT;5.0;3.0;8.0;Gemini
60;2;1;Gemini;5.0;3.0;8.0;Gemini
60;2;2;EchoGPT;3.0;2.0;5.0;Gemini
60;2;3;ChatGPT;5.0;3.0;8.0;Gemini
